id,created_at, user_id,text,lang,coordinates_type,coordinates_lat,coordinates_lon,place_id,place_name,place_country_code,retweet_count,favorite_count,_search_string,_search_loc_lat,_search_loc_lon,_search_loc_range,label
Sat Feb 23 12:27:57 +0000 2019,264665536,Will be attending this year's 4YFN - 4 Years from Now start up exhibition program at the Barcelona Mobile World Conï¿½ https://t.co/ttW8f3FiQJ,en,Point,41.37507228,2.14881175,1a27537478dd8e38,None,ES,0,0,4YFN,41.373693,2.151002,1,NEG,0.266
Sat Feb 23 10:26:12 +0000 2019,915493999879876608,"Another year at @4YFN_MWC, another great opportunity to exchange with YOU innovative startups! If you want to conneï¿½ https://t.co/ZfN0iOknUb",en,None,None,None,07d9f3203b087000,None,ES,4,8,4YFN,41.373693,2.151002,1,NEG,0.004
Thu Feb 14 12:36:10 +0000 2019,198458639,No te pierdas nuestro tour en el @4YFN_MWC! https://t.co/TfBoByxDIV,es,None,None,None,37ded68f419372ee,None,ES,3,5,4YFN,41.309457,2.092745,1,POS,0.717
Sat Feb 23 12:27:57 +0000 2019,264665536,Will be attending this year's 4YFN - 4 Years from Now start up exhibition program at the Barcelona Mobile World Conï¿½ https://t.co/ttW8f3FiQJ,en,Point,41.37507228,2.14881175,1a27537478dd8e38,None,ES,0,0,4YFN,41.373693,2.151002,1,NEG,0.266
Sat Feb 23 10:26:12 +0000 2019,915493999879876608,"Another year at @4YFN_MWC, another great opportunity to exchange with YOU innovative startups! If you want to conneï¿½ https://t.co/ZfN0iOknUb",en,None,None,None,07d9f3203b087000,None,ES,4,8,4YFN,41.373693,2.151002,1,NEG,0.004
Thu Feb 14 12:36:10 +0000 2019,198458639,No te pierdas nuestro tour en el @4YFN_MWC! https://t.co/TfBoByxDIV,es,None,None,None,37ded68f419372ee,None,ES,3,5,4YFN,41.309457,2.092745,1,POS,0.717
1099714705847857153,Sun Feb 24 16:56:32 +0000 2019,113490149,Ready another year #mwc2019 #4YFN #intelligentconnectivity #Barcelona #networking #digitaltalent #enterpreneurshipï¿½ https://t.co/3ywvBp6EKc,en,Point,41.3888,2.1681,1a27537478dd8e38,None,ES,0,0,4YFN,41.3851,2.1734,1,None
1099714705847857153,Sun Feb 24 16:56:32 +0000 2019,113490149,Ready another year #mwc2019 #4YFN #intelligentconnectivity #Barcelona #networking #digitaltalent #enterpreneurshipï¿½ https://t.co/3ywvBp6EKc,en,Point,41.3888,2.1681,1a27537478dd8e38,None,ES,0,0,4YFN,41.385557,2.163845,1,None
1100030039691735040,Mon Feb 25 13:49:33 +0000 2019,118993230,"ï¿½rase una vez una conferencia en el 4YFN, el evento de apertura de la Mobile World Congress. Terminada la versiï¿½n eï¿½ https://t.co/PrTXwgB4gH",es,Point,41.3547272,2.1267328,1aca5ffbc553e95b,None,ES,0,0,4YFN,41.35402,2.12874,1,None
1100095725592023041,Mon Feb 25 18:10:34 +0000 2019,1009423711533916161,First attend 4YFN - #legaltech - #4YFN - #IPtech https://t.co/wrMLtOlPoO,da,None,None,None,07d9f3203b087000,None,ES,0,0,4YFN,41.373693,2.151002,1,None
1100085475732344834,Mon Feb 25 17:29:50 +0000 2019,97022694,Sunset on the National Art Museum of Catalonia after a fantastic day at #4YFN #MWC19 https://t.co/ojfqPT2RBh,en,None,None,None,07d9c97412088005,None,ES,0,1,4YFN,41.373693,2.151002,1,None
1100084463965474823,Mon Feb 25 17:25:49 +0000 2019,10535642,"Y aquï¿½ seguimos sin parar en el @4YFN_MWC. Ya perdï¿½ la cuenta de reuniones, dï¿½a a tope #4yfn19 https://t.co/5jyPgNuZ5A",es,None,None,None,07d9f3203b087000,None,ES,0,2,4YFN,41.373693,2.151002,1,None
1100078084257132544,Mon Feb 25 17:00:28 +0000 2019,148531061,Felicidades @ignasialcalde #4YFN #MWC2019 #mydata https://t.co/8e57bekn6J,pt,None,None,None,07d9f3203b087000,None,ES,0,0,4YFN,41.373693,2.151002,1,None
1100074852227170304,Mon Feb 25 16:47:37 +0000 2019,148531061,ï¿½We are creating a #smartcity with people firstï¿½ @francesca_bria #4YFN #MWC18 https://t.co/8QKxsBS6p0,en,None,None,None,07d9f3203b087000,None,ES,0,0,4YFN,41.373693,2.151002,1,None
1100073241740234752,Mon Feb 25 16:41:13 +0000 2019,148531061,ï¿½We donï¿½t want to be #facebook #citizenï¿½ @_futuribile #MWC19MP #4YFN https://t.co/ZlcwgeiDEZ,en,None,None,None,07d9f3203b087000,None,ES,0,0,4YFN,41.373693,2.151002,1,None
1100073147020255232,Mon Feb 25 16:40:51 +0000 2019,23311348,#miro19 Miro in cube logo #selfie and branded chocolate macarons   @programmemiro @upvd1  @4YFN_MWC #4YFN19 https://t.co/pJknfKjkN9,en,None,None,None,07d9f3203b087000,None,ES,0,0,4YFN,41.373693,2.151002,1,None
1100071136321261569,Mon Feb 25 16:32:51 +0000 2019,23311348,#miro19 the audience from the jury on stage #startup #hackathon #56hours contest @programmemiro @upvd1  @4YFN_MWCï¿½ https://t.co/qm7B5LHCQ7,en,None,None,None,07d9f3203b087000,None,ES,0,0,4YFN,41.373693,2.151002,1,None
1100069725999194113,Mon Feb 25 16:27:15 +0000 2019,2647056523,Estamos estos dï¿½as en el #4YFN19 junto al ecosistema de #Valencia. Si tienes un proyecto y quieres que te apoyemosï¿½ https://t.co/HhogtTYeFH,es,None,None,None,07d9f3203b087000,None,ES,1,6,4YFN,41.373693,2.151002,1,None
1100064097167540225,Mon Feb 25 16:04:53 +0000 2019,13666632,#4yfn #future of #work use #technology to #help #human #interconnection and #visibility #possibilitarians #pwcï¿½ https://t.co/4OOkNTuMtQ,en,Point,41.37455433,2.14971542,1a27537478dd8e38,None,ES,0,0,4YFN,41.373693,2.151002,1,None
1100052950976811008,Mon Feb 25 15:20:36 +0000 2019,146131889,"Esta semana Buxtar presente en Barcelona en el #mwc2019 #4yfn Con nuestra soluciï¿½n Agenda Cafetera ""Coffee Agenda"".ï¿½ https://t.co/DZUJSPSf7V",es,Point,41.3741689,2.1512547,1a27537478dd8e38,None,ES,0,0,4YFN,41.373693,2.151002,1,None
1100046435180007424,Mon Feb 25 14:54:42 +0000 2019,19106644,"I'm at @4YFN_mwc in Barcelona, Catalonia https://t.co/BZtI2LYIqu",en,Point,41.37267038,2.14971542,1a27537478dd8e38,None,ES,1,0,4YFN,41.373693,2.151002,1,None
1100044379291557890,Mon Feb 25 14:46:32 +0000 2019,943437850070089728,ï¿½There will be a consolidation of the market. #Mobility providers need to prove that they are a reliable #partner fï¿½ https://t.co/wpR1nQwtxu,en,None,None,None,07d9f3203b087000,None,ES,0,2,4YFN,41.373693,2.151002,1,None
1100032104992329728,Mon Feb 25 13:57:46 +0000 2019,369440374,ï¿½Si te interesan los proyectos innovadores.. #4yfn es tu evento! ï¿½Te vienes con nosotros? #startups #innovaciï¿½nï¿½ https://t.co/nh6WPWFfLH,es,Point,41.37507228,2.14881175,1a27537478dd8e38,None,ES,0,2,4YFN,41.373693,2.151002,1,None
1100031198225678337,Mon Feb 25 13:54:09 +0000 2019,2487977029,"Una #startup dopo lï¿½altra, bello incontrare tante italiane qui a #Barcellona #4YFN https://t.co/7BMprOkja4",it,None,None,None,07d9f3203b087000,None,ES,0,3,4YFN,41.373693,2.151002,1,None
1100029975552499714,Mon Feb 25 13:49:18 +0000 2019,3362065893,Hello #4yfn !!! If you are an #iot #hardware #drones #robotics or #foodtech #startup and are searching forï¿½ https://t.co/myMPDy1LjP,en,None,None,None,07f1cf5169550000,None,ES,0,0,4YFN,41.373693,2.151002,1,None
1100023218096746497,Mon Feb 25 13:22:27 +0000 2019,23311348,#miro19 innovation contest #startups from @programmemiro @upvd1 during @4YFN_MWC #4YFN19 honored to be jury member https://t.co/FgjGcJORss,en,None,None,None,07d9f3203b087000,None,ES,1,2,4YFN,41.373693,2.151002,1,None
