id,created_at, user_id,text,lang,coordinates_type,coordinates_lat,coordinates_lon,place_id,place_name,place_country_code,retweet_count,favorite_count,_search_string,_search_loc_lat,_search_loc_lon,_search_loc_range,label,sentiment_classifier_score
Wed Feb 20 07:49:34 +0000 2019,16271611,"I'm at @Fira_Barcelona Gran Via in L'Hospitalet de Llobregat, Barcelona https://t.co/yAabPMHh1M",ca,Point,41.35558349,2.13242054,1a27537478dd8e38,None,ES,0,0,@Fira_Barcelona,41.35402,2.12874,1.0,NEG,NEG,0.225
Wed Feb 20 07:49:34 +0000 2019,16271611,"I'm at @Fira_Barcelona Gran Via in L'Hospitalet de Llobregat, Barcelona https://t.co/yAabPMHh1M",ca,Point,41.35558349,2.13242054,1a27537478dd8e38,None,ES,0,0,@Fira_Barcelona,41.35402,2.12874,1.0,NEG,NEG,0.225
Wed Feb 20 07:49:34 +0000 2019,16271611,"I'm at @Fira_Barcelona Gran Via in L'Hospitalet de Llobregat, Barcelona https://t.co/yAabPMHh1M",ca,Point,41.35558349,2.13242054,1a27537478dd8e38,None,ES,0,0,@Fira_Barcelona,41.35402,2.12874,1.0,NEG,NEG,0.225
1100005444809035776,Mon Feb 25 12:11:49 +0000 2019,280231559,"I'm at @Fira_Barcelona Gran Via in L'Hospitalet de Llobregat, Barcelona https://t.co/ymc2TppMXX",ca,Point,41.35558349,2.13242054,1a27537478dd8e38,None,ES,1,0,@Fira_Barcelona,41.35402,2.12874,1,NEG,0.177
1099975942968094720,Mon Feb 25 10:14:36 +0000 2019,18174590,"I'm at @Fira_Barcelona Gran Via in L'Hospitalet de Llobregat, Barcelona https://t.co/t8vsSKkPPn",ca,Point,41.35558349,2.13242054,1a27537478dd8e38,None,ES,1,0,@Fira_Barcelona,41.35402,2.12874,1,NEG,0.177
1099974579991310338,Mon Feb 25 10:09:11 +0000 2019,34900344,"I'm here. #MWC19 (at @Fira_Barcelona Gran Via in L'Hospitalet de Llobregat, Barcelona) https://t.co/Zi9vIYxiJ5 https://t.co/RCRhaf8adj",ca,Point,41.35558349,2.13242054,1a27537478dd8e38,None,ES,1,3,@Fira_Barcelona,41.35402,2.12874,1,NEG,0.206
1099969194265899008,Mon Feb 25 09:47:47 +0000 2019,111360795,"MWC 2019 (at @Fira_Barcelona Gran Via in L'Hospitalet de Llobregat, Barcelona) https://t.co/q4GSprNevq https://t.co/DC1zWw040X",ca,Point,41.35558349,2.13242054,1a27537478dd8e38,None,ES,1,2,@Fira_Barcelona,41.35402,2.12874,1,NEG,0.209
1099957496029040642,Mon Feb 25 09:01:17 +0000 2019,20585659,"#mwc2019 day1 (at @Fira_Barcelona Gran Via in L'Hospitalet de Llobregat, Barcelona) https://t.co/yYTVAxdSQX",ca,Point,41.35558349,2.13242054,1a27537478dd8e38,None,ES,1,1,@Fira_Barcelona,41.35402,2.12874,1,NEG,0.206
1099955060870729728,Mon Feb 25 08:51:37 +0000 2019,100692747,"#MWC2019 (at @Fira_Barcelona Gran Via in L'Hospitalet de Llobregat, Barcelona) https://t.co/epYykTamSU",ca,Point,41.35558349,2.13242054,1a27537478dd8e38,None,ES,1,0,@Fira_Barcelona,41.35402,2.12874,1,NEG,0.177
1099954454932217856,Mon Feb 25 08:49:12 +0000 2019,6741172,"I'm at @Fira_Barcelona Gran Via in L'Hospitalet de Llobregat, Barcelona https://t.co/LyvAswOnPv",ca,Point,41.35558349,2.13242054,1a27537478dd8e38,None,ES,1,0,@Fira_Barcelona,41.35402,2.12874,1,NEG,0.177
1099941089199427584,Mon Feb 25 07:56:06 +0000 2019,15535595,"Gooooood morning from #MWC19 (at @Fira_Barcelona Gran Via in L'Hospitalet de Llobregat, Barcelona)� https://t.co/p9TZUOaxcP",en,Point,41.35558349,2.13242054,1a27537478dd8e38,None,ES,1,2,@Fira_Barcelona,41.35402,2.12874,1,NEG,0.213
1099935133606531072,Mon Feb 25 07:32:26 +0000 2019,112652803,"I'm at @Fira_Barcelona Gran Via in L'Hospitalet de Llobregat, Barcelona https://t.co/0PMsTJ7ODX",ca,Point,41.35558349,2.13242054,1a27537478dd8e38,None,ES,1,0,@Fira_Barcelona,41.35402,2.12874,1,NEG,0.177
1099932166618787841,Mon Feb 25 07:20:38 +0000 2019,6979892,First order of business; grab a good cup of coffee at the Ericsson press conference #mwc19 (at @Fira_Barcelona Gran� https://t.co/OssUU056nc,en,Point,41.35558349,2.13242054,1a27537478dd8e38,None,ES,1,0,@Fira_Barcelona,41.35402,2.12874,1,NEG,0.029
1099929860900880384,Mon Feb 25 07:11:29 +0000 2019,423582298,"#MWC2019 (at @Fira_Barcelona Gran Via in L'Hospitalet de Llobregat, Barcelona) https://t.co/sa9zvj3phd",ca,Point,41.35558349,2.13242054,1a27537478dd8e38,None,ES,1,0,@Fira_Barcelona,41.35402,2.12874,1,NEG,0.177
1099927887875067904,Mon Feb 25 07:03:38 +0000 2019,3942101,"Checkar in p� Mobile World Congress, i �r igen! #mwc2019 (at @Fira_Barcelona Gran Via in L'Hospitalet de Llobregat,� https://t.co/u597gpZdCV",sv,Point,41.35558349,2.13242054,1a27537478dd8e38,None,ES,1,1,@Fira_Barcelona,41.35402,2.12874,1,NEG,0.144
1099922195046895616,Mon Feb 25 06:41:01 +0000 2019,46208081,"I'm at @Fira_Barcelona Gran Via in L'Hospitalet de Llobregat, Barcelona https://t.co/Uxv8UfJUBz",ca,Point,41.35558349,2.13242054,1a27537478dd8e38,None,ES,1,0,@Fira_Barcelona,41.35402,2.12874,1,NEG,0.177
1098127508891938817,Wed Feb 20 07:49:34 +0000 2019,16271611,"I'm at @Fira_Barcelona Gran Via in L'Hospitalet de Llobregat, Barcelona https://t.co/yAabPMHh1M",ca,Point,41.35558349,2.13242054,1a27537478dd8e38,None,ES,0,0,@Fira_Barcelona,41.35402,2.12874,1,NEG,0.177
1099984228199137281,Mon Feb 25 10:47:31 +0000 2019,16698285,Semana de #4YFN (@ Fira de Barcelona - @fira_barcelona in Barcelona) https://t.co/VQ10G8eHAB,ca,Point,41.37328227,2.151196,1a27537478dd8e38,None,ES,1,0,@Fira_Barcelona,41.373692999999996,2.151002,1,NEG,0.385
1098905728612364288,Fri Feb 22 11:21:57 +0000 2019,857507259844263937,@TMBinfo @Fira_Barcelona @GSMA @4YFN_MWC Pero abra huelga de metro ONO?,es,None,None,None,0df96a5eace851e2,None,ES,0,0,@Fira_Barcelona,41.451492,2.185391,2,NEG,0.348
1098965659558522880,Fri Feb 22 15:20:05 +0000 2019,2415010228,"El Taxi de Barcelona no es tan caro, Tarifas reguladas @AMBtaxi Somos Conductores profesionales, Taxistas Amables,� https://t.co/kNh96fHcvU",es,None,None,None,1aca5ffbc553e95b,None,ES,28,34,@Fira_Barcelona,41.362977,2.100302,2,NEG,0.061
1098882228921225216,Fri Feb 22 09:48:34 +0000 2019,2415010228,"El servei de taxi disposar� de dues parades per atendre l'acc�s Sud i l'acc�s Nord del recinte de Gran V�a,� https://t.co/VvDCI8QnJ7",ca,None,None,None,1aca5ffbc553e95b,None,ES,5,5,@Fira_Barcelona,41.362977,2.100302,2,NEG,0.225
