id,created_at, user_id,text,lang,coordinates_type,coordinates_lat,coordinates_lon,place_id,place_name,place_country_code,retweet_count,favorite_count,_search_string,_search_loc_lat,_search_loc_lon,_search_loc_range,label
Wed Feb 20 17:01:25 +0000 2019,88044962,Estamos encantados de anunciar que @mo_barcelona es el ï¿½nico hotel 5 estrellas de Espaï¿½a en la #ForbesTravelGuideï¿½ https://t.co/3IRWzEnZMB,es,Point,41.3911782,2.1666738,1a27537478dd8e38,None,ES,4,8,announce,41.3851,2.1734,1,NEG,0.235
Tue Feb 19 19:43:44 +0000 2019,98005738,Happy to announce my new track with @Luca_Donzelli featured on Collection G Compilation @savedrecords Buy link in mï¿½ https://t.co/c2MaLhytNn,en,Point,41.3888,2.1681,1a27537478dd8e38,None,ES,0,1,announce,41.3851,2.1734,1,NEG,0.056
Wed Feb 20 17:01:25 +0000 2019,88044962,Estamos encantados de anunciar que @mo_barcelona es el ï¿½nico hotel 5 estrellas de Espaï¿½a en la #ForbesTravelGuideï¿½ https://t.co/3IRWzEnZMB,es,Point,41.3911782,2.1666738,1a27537478dd8e38,None,ES,4,8,announce,41.385557,2.163845,1,NEG,0.235
Tue Feb 19 19:43:44 +0000 2019,98005738,Happy to announce my new track with @Luca_Donzelli featured on Collection G Compilation @savedrecords Buy link in mï¿½ https://t.co/c2MaLhytNn,en,Point,41.3888,2.1681,1a27537478dd8e38,None,ES,0,1,announce,41.385557,2.163845,1,NEG,0.056
Thu Feb 21 18:33:22 +0000 2019,2823821487,Seguimos trayendo a los mejores chefs!  Sï¿½per contenta de anunciar que vincent_vallee estarï¿½ en nuestra escuela elï¿½ https://t.co/xaItRzQ8E1,es,Point,41.36154952,2.12767707,1aca5ffbc553e95b,None,ES,0,0,announce,41.35402,2.12874,1,POS,0.52
Sat Feb 16 21:29:17 +0000 2019,246738441,@vueling where is everyone's luggage from LGW- BCN flight VY7829 and why did your handlers at BCN refuse to announcï¿½ https://t.co/jAzdNqIPTB,en,None,None,None,37ded68f419372ee,None,ES,2,0,announce,41.309457,2.092745,1,NEG,0.001
Wed Feb 20 17:01:25 +0000 2019,88044962,Estamos encantados de anunciar que @mo_barcelona es el ï¿½nico hotel 5 estrellas de Espaï¿½a en la #ForbesTravelGuideï¿½ https://t.co/3IRWzEnZMB,es,Point,41.3911782,2.1666738,1a27537478dd8e38,None,ES,4,8,announce,41.3851,2.1734,1,NEG,0.235
Tue Feb 19 19:43:44 +0000 2019,98005738,Happy to announce my new track with @Luca_Donzelli featured on Collection G Compilation @savedrecords Buy link in mï¿½ https://t.co/c2MaLhytNn,en,Point,41.3888,2.1681,1a27537478dd8e38,None,ES,0,1,announce,41.3851,2.1734,1,NEG,0.056
Wed Feb 20 17:01:25 +0000 2019,88044962,Estamos encantados de anunciar que @mo_barcelona es el ï¿½nico hotel 5 estrellas de Espaï¿½a en la #ForbesTravelGuideï¿½ https://t.co/3IRWzEnZMB,es,Point,41.3911782,2.1666738,1a27537478dd8e38,None,ES,4,8,announce,41.385557,2.163845,1,NEG,0.235
Tue Feb 19 19:43:44 +0000 2019,98005738,Happy to announce my new track with @Luca_Donzelli featured on Collection G Compilation @savedrecords Buy link in mï¿½ https://t.co/c2MaLhytNn,en,Point,41.3888,2.1681,1a27537478dd8e38,None,ES,0,1,announce,41.385557,2.163845,1,NEG,0.056
