id,created_at, user_id,text,lang,coordinates_type,coordinates_lat,coordinates_lon,place_id,place_name,place_country_code,retweet_count,favorite_count,_search_string,_search_loc_lat,_search_loc_lon,_search_loc_range,label
Sat Feb 23 14:30:56 +0000 2019,879333633307271168,Arrived in Barcelona to prepare for our upcoming new product launch tomorrow. Are you excited for it? Do stay tuned� https://t.co/Ky1cjdIkMG,en,None,None,None,1a27537478dd8e38,None,ES,20,182,barcelona,41.3851,2.1734,3,NEG,0.103
Thu Feb 21 15:13:18 +0000 2019,93370246,"Nueva jornada de desmanes callejeros, apoyados en el paro gubernamental de Torra y C�a., que incluye un ataque grat� https://t.co/RFULlNEYSm",es,None,None,None,1a27537478dd8e38,None,ES,41,49,barcelona,41.3851,2.1734,3,NEG,0.394
Sat Feb 23 15:49:28 +0000 2019,238227554,"I'm at Honest Greens in Barcelona, Catalonia https://t.co/uAc9RnF3Vf",en,Point,41.387285,2.168125,1a27537478dd8e38,None,ES,0,0,barcelona,41.3851,2.1734,3,NEG,0.007
Sat Feb 23 15:48:55 +0000 2019,187804659,#eventazo8m es ahora una tendencia en #Barcelona -  - https://t.co/UYY0X8B8ca https://t.co/GbHi3g5JyB,es,Point,41.3879,2.16992,1a27537478dd8e38,None,ES,0,0,barcelona,41.3851,2.1734,3,NEG,0.33
Sat Feb 23 15:43:51 +0000 2019,134917141,"""El dinero paga facturas, nada m�s. - El amor en cambio, sana las heridas del alma""  Rosseta Forner en Barcelona, Spa� https://t.co/ksxHd3BKDJ",es,Point,41.3888,2.1681,1a27537478dd8e38,None,ES,0,0,barcelona,41.3851,2.1734,3,NEG,0.124
Sat Feb 23 15:43:11 +0000 2019,60969837,"Winter vacations at Barcelona -  - #barcelona #photography #winter #spain #catalunya #vacation #travel @ Barcelona, Spa� https://t.co/dlk5ZBSSUJ",en,Point,41.3888,2.1681,1a27537478dd8e38,None,ES,0,0,barcelona,41.3851,2.1734,3,NEG,0.0
Sat Feb 23 15:41:32 +0000 2019,101823001,Empezamos la temporada #futbolsala #temporado18/19 (@ ONCE Catalunya - @once_oficial in Barcelona) https://t.co/8gzcvAq4Zx,es,Point,41.37567247,2.15195815,1a27537478dd8e38,None,ES,0,0,barcelona,41.3851,2.1734,3,POS,0.587
Sat Feb 23 15:39:21 +0000 2019,3198301840,"Mercado de La Boquer�a, turistas y aj� limo fresco.  - #barcelona @ La Boqueria Mercat https://t.co/AIJ4KYcuPw",es,Point,41.38075383,2.17163251,1a27537478dd8e38,None,ES,0,0,barcelona,41.3851,2.1734,3,POS,0.848
Sat Feb 23 15:39:15 +0000 2019,18837412,Entre el morbo extremo del Cristianismo y la extraordinaria belleza de la naturaleza en las obras de Gaud� (@ Museu� https://t.co/2tTmu8lckY,ca,Point,41.36891468,2.15322511,1a27537478dd8e38,None,ES,0,0,barcelona,41.3851,2.1734,3,POS,0.981
Sat Feb 23 15:37:30 +0000 2019,852530002889502720,"For the light to shine so brightly, the darkness must be present. #Shotoniphone #BCN #Barcelona #gothicquarter� https://t.co/Jv7SMd6dq2",en,Point,41.3888,2.1681,1a27537478dd8e38,None,ES,0,0,barcelona,41.3851,2.1734,3,NEG,0.27
