id,created_at, user_id,text,lang,coordinates_type,coordinates_lat,coordinates_lon,place_id,place_name,place_country_code,retweet_count,favorite_count,_search_string,_search_loc_lat,_search_loc_lon,_search_loc_range,label
Sun Feb 17 21:34:45 +0000 2019,16200585,La demagï¿½gia sï¿½acaba tornant contra qui la practica ! Els mateixos ( @bcnencomu i @ahorapodemos ) q van tombar el dï¿½ https://t.co/2rZSrcVIz9,ca,None,None,None,1a27537478dd8e38,None,ES,25,45,bcn,41.3851,2.1734,3,NEG,0.037
Sat Feb 16 17:10:31 +0000 2019,12021062,No hi haurï¿½ cap normalitat mentre no es vulgui donar una resposta polï¿½tica a tota aquesta gent. Col.lapse de gent aï¿½ https://t.co/8gcby0nqDH,ca,None,None,None,07d9f74460485002,None,ES,20,57,bcn,41.3851,2.1734,3,NEG,0.011
Sat Feb 23 15:37:30 +0000 2019,852530002889502720,"For the light to shine so brightly, the darkness must be present. #Shotoniphone #BCN #Barcelona #gothicquarterï¿½ https://t.co/Jv7SMd6dq2",en,Point,41.3888,2.1681,1a27537478dd8e38,None,ES,0,0,bcn,41.3851,2.1734,3,NEG,0.27
Sat Feb 23 14:44:45 +0000 2019,105627020,Un any mes he pogut assistir a la trobada i dinar dels ex-treballadors i amics de lï¿½Editorial Bruguera a lï¿½Alberg Vï¿½ https://t.co/PeUj2GGzx3,ca,None,None,None,1a27537478dd8e38,None,ES,0,1,bcn,41.3851,2.1734,3,POS,0.921
Sat Feb 23 14:41:43 +0000 2019,326790718,@paolaalmao Bcn .,und,None,None,None,1a27537478dd8e38,None,ES,0,0,bcn,41.3851,2.1734,3,NEG,0.099
Sat Feb 23 14:35:29 +0000 2019,289979973,@GUBindignat @bcnbici @TarreMontse @TotBcn @barcelona_GUB @a_lizanda jo crec que no cal posar-se amb totes les motoï¿½ https://t.co/L45LsVXyDw,ca,None,None,None,1a27537478dd8e38,None,ES,0,1,bcn,41.3851,2.1734,3,NEG,0.065
Sat Feb 23 14:33:47 +0000 2019,525163990,"El que parte y comparte, se lleva la mejor parte. - Pide entrantes, curris, naans, arroces... - Masalaï¿½73 for everybodyï¿½ https://t.co/lj2Q0EcHie",es,None,None,None,1a27537478dd8e38,None,ES,0,2,bcn,41.3851,2.1734,3,POS,0.743
Sat Feb 23 14:32:38 +0000 2019,729980636996505600,@m_r_s11 @Del40al1_es @TonyAguilarOfi En Rubï¿½ (BCN) es gratuito como en las 2 ediciones anteriores.,es,None,None,None,1a27537478dd8e38,None,ES,0,2,bcn,41.3851,2.1734,3,NEG,0.389
Sat Feb 23 13:55:02 +0000 2019,267993195,"@I_Delgado_ @CarlesSpa @bcn_ajuntament @AdaColau No me engaï¿½o, I_Delgado (no pones tu nombre, ideal para trolear),ï¿½ https://t.co/WAZD049gAE",es,None,None,None,1a27537478dd8e38,None,ES,0,0,bcn,41.3851,2.1734,3,NEG,0.032
Sat Feb 23 13:49:56 +0000 2019,94525711,Opulent Uxmal #mexico #travels https://t.co/AafGrC6yO7,und,None,None,None,1a27537478dd8e38,None,ES,0,0,bcn,41.3851,2.1734,3,NEG,0.022
Sat Feb 23 13:46:04 +0000 2019,6695212,El CC Arenales de BCN (@ Les Galeries Maldï¿½ in Barcelona) https://t.co/iG6uM6vy1o,ca,Point,41.38317585,2.17356927,1a27537478dd8e38,None,ES,0,0,bcn,41.3851,2.1734,3,NEG,0.25
Sat Feb 23 13:19:14 +0000 2019,33445918,Ich glaube Alexander hat zuviel Lack gesoffen *seufz - kann ihm jemand helfen? @AJA_Cortes #lost #mentalhealth https://t.co/Eeqlk0XBxv,de,None,None,None,1a27537478dd8e38,None,ES,0,1,bcn,41.3851,2.1734,3,NEG,0.005
Sat Feb 23 12:48:20 +0000 2019,2153824982,Thank you for hosting me for another exciting guest lecture ï¿½Gaming Business with Design &amp; Technologyï¿½ to an inspirï¿½ https://t.co/uLVWlDiN3W,en,None,None,None,1a27537478dd8e38,None,ES,0,0,bcn,41.3851,2.1734,3,NEG,0.025
Sat Feb 23 12:47:01 +0000 2019,109886496,"BCN: sombras de un paseo al sol #loveBCN en Barcelona, Spain https://t.co/39rMV7chXL",es,Point,41.3888,2.1681,1a27537478dd8e38,None,ES,0,0,bcn,41.3851,2.1734,3,NEG,0.493
