id,created_at,text,lang,coordinates_type,coordinates_lat,coordinates_lon,place_id,place_name,place_country_code,retweet_count,favorite_count,_search_string,_search_loc_lat,_search_loc_lon,_search_loc_range,label,sentiment_classifier_score
Fri Feb 22 11:53:27 +0000 2019,72444095,"Can you recommend anyone for this #CustomerService job in #Barcelona, CT? Click the link in our bio to see it and m� https://t.co/hPU9XtPs9k",en,Point,41.3850639,2.1734035,1a27537478dd8e38,None,ES,0,0,digital,41.3851,2.1734,1,NEG,0.007
Wed Feb 20 23:30:58 +0000 2019,787841953,Comparto con ustedes un intro realizado para mantomt la moneda digital con respaldo real en oro.  - . - . - .� https://t.co/0rfkEISF7s,es,Point,41.3888,2.1681,1a27537478dd8e38,None,ES,1,0,digital,41.3851,2.1734,1,NEG,0.243
Wed Feb 20 20:49:36 +0000 2019,3028782057,Fighting against quartz watches in 1975 or so - Swissonic Derby Jaz. Combining a digital time indicator with an Esa� https://t.co/NLkA0MfAuV,en,Point,41.3831406,2.1673901,1a27537478dd8e38,None,ES,0,0,digital,41.3851,2.1734,1,NEG,0.025
Tue Feb 19 07:55:22 +0000 2019,18685460,On the Steps of Cathedral Barcelona. Digital painting. 2019.  - . - . - . - . - . - #barcelonacathedral #barcelona #spain #art� https://t.co/ym9W5382w9,en,Point,41.3888,2.1681,1a27537478dd8e38,None,ES,0,0,digital,41.3851,2.1734,1,NEG,0.293
Thu Feb 14 09:02:08 +0000 2019,269421086,"Perqu� la transformaci� digital no �s nom�s digitalitzar processos, tenim un repte: les persones. En quin moment en� https://t.co/3QcIiI06vy",ca,None,None,None,07d9d414f2485000,None,ES,0,1,digital,41.3851,2.1734,1,NEG,0.408
Fri Feb 22 11:53:27 +0000 2019,72444095,"Can you recommend anyone for this #CustomerService job in #Barcelona, CT? Click the link in our bio to see it and m� https://t.co/hPU9XtPs9k",en,Point,41.3850639,2.1734035,1a27537478dd8e38,None,ES,0,0,digital,41.385557,2.163845,1,NEG,0.007
Wed Feb 20 23:30:58 +0000 2019,787841953,Comparto con ustedes un intro realizado para mantomt la moneda digital con respaldo real en oro.  - . - . - .� https://t.co/0rfkEISF7s,es,Point,41.3888,2.1681,1a27537478dd8e38,None,ES,1,0,digital,41.385557,2.163845,1,NEG,0.243
Wed Feb 20 20:49:36 +0000 2019,3028782057,Fighting against quartz watches in 1975 or so - Swissonic Derby Jaz. Combining a digital time indicator with an Esa� https://t.co/NLkA0MfAuV,en,Point,41.3831406,2.1673901,1a27537478dd8e38,None,ES,0,0,digital,41.385557,2.163845,1,NEG,0.025
Tue Feb 19 07:55:22 +0000 2019,18685460,On the Steps of Cathedral Barcelona. Digital painting. 2019.  - . - . - . - . - . - #barcelonacathedral #barcelona #spain #art� https://t.co/ym9W5382w9,en,Point,41.3888,2.1681,1a27537478dd8e38,None,ES,0,0,digital,41.385557,2.163845,1,NEG,0.293
Thu Feb 14 09:02:08 +0000 2019,269421086,"Perqu� la transformaci� digital no �s nom�s digitalitzar processos, tenim un repte: les persones. En quin moment en� https://t.co/3QcIiI06vy",ca,None,None,None,07d9d414f2485000,None,ES,0,1,digital,41.385557,2.163845,1,NEG,0.408
Sun Feb 17 08:23:52 +0000 2019,49152525,Digital warnings help GPs cut down on antibiotics | News | The Times https://t.co/Br6IPUDdUS,en,None,None,None,08c70eff8a94b001,None,ES,0,0,digital,41.413435,2.15319,1,NEG,0.027
Wed Feb 20 21:22:03 +0000 2019,69243225,Excelentes finalistas con proyectos que buscan desarrollar talento digital y as� tener una oportunidad en la necesa� https://t.co/WSssp9q21m,es,None,None,None,37ded68f419372ee,None,ES,3,18,digital,41.309457,2.092745,1,POS,0.669
