id,created_at, user_id,text,lang,coordinates_type,coordinates_lat,coordinates_lon,place_id,place_name,place_country_code,retweet_count,favorite_count,_search_string,_search_loc_lat,_search_loc_lon,_search_loc_range,label
Sat Feb 23 15:31:09 +0000 2019,16405182,Arrived and psyched about our clientsï¿½ programs this week! Letï¿½s do this @PR_Chirp!  -  - #MWC19 #MWC2019ï¿½ https://t.co/KP47wLe4QH,en,None,None,None,1a27537478dd8e38,None,ES,0,1,mobile,41.3851,2.1734,3,NEG,0.049
Sat Feb 23 12:37:43 +0000 2019,424393244,Quï¿½ bï¿½ no? Un esdeveniment amb tanta visibilitat per la ciutat i els/les treballadores segueixen sota aquestes condï¿½ https://t.co/nr3SxNq6f5,ca,None,None,None,1a27537478dd8e38,None,ES,0,0,mobile,41.3851,2.1734,3,NEG,0.018
Sat Feb 23 12:27:57 +0000 2019,264665536,Will be attending this year's 4YFN - 4 Years from Now start up exhibition program at the Barcelona Mobile World Conï¿½ https://t.co/ttW8f3FiQJ,en,Point,41.37507228,2.14881175,1a27537478dd8e38,None,ES,0,0,mobile,41.3851,2.1734,3,NEG,0.266
Sat Feb 23 11:50:47 +0000 2019,15077256,ï¿½Appsï¿½ para coger un taxi durante el Mobile en la era post Uber y Cabify https://t.co/QHTyztIGDT via @elpais_tec @HEREMobility  @mytaxi_es,ca,None,None,None,1a27537478dd8e38,None,ES,3,3,mobile,41.3851,2.1734,3,NEG,0.024
Sat Feb 23 11:21:59 +0000 2019,420268618,Alguien cree que el #Mobile #MWC #MWC19 se queda porque realmente se celebra en #L'Hospitalet?,es,None,None,None,1a27537478dd8e38,None,ES,0,0,mobile,41.3851,2.1734,3,NEG,0.407
Sat Feb 23 11:17:52 +0000 2019,970290278,Barcelona Mobile World Congress 2019 excited for?? - #MWC @Paula_Piccard @mwc #Barcelona,en,None,None,None,1a27537478dd8e38,None,ES,0,0,mobile,41.3851,2.1734,3,NEG,0.136
Sat Feb 23 11:16:47 +0000 2019,1095266051279982593,"Mobile word Congress Barcelona, sin metro, sin servicios, sin vtc, sin progreso sin miles de empresas que se han idï¿½ https://t.co/hmpoNuztT9",es,None,None,None,1a27537478dd8e38,None,ES,1,1,mobile,41.3851,2.1734,3,NEG,0.031
Sat Feb 23 11:08:16 +0000 2019,1095266051279982593,Cuï¿½l es el colmo de un peluquero? Perder el tren por los pelos. Y el colmo del mobile Word de Barcelona? No dejar tï¿½ https://t.co/2QPeAF89WE,es,None,None,None,1a27537478dd8e38,None,ES,2,2,mobile,41.3851,2.1734,3,NEG,0.134
Sat Feb 23 10:15:05 +0000 2019,68087176,Want a refresher on Chinese phone vendors in the run-up to #MWC19? Here's a 34m podcast episode that I did w/ï¿½ https://t.co/9BDgP5hMsY,en,None,None,None,1a27537478dd8e38,None,ES,0,5,mobile,41.3851,2.1734,3,NEG,0.006
Sat Feb 23 08:55:55 +0000 2019,5751622,#MWC19 #TRENDING - Mobile Mix: @Samsung sets foldable battle line as MWC19 nears: -  - WATCH VIDEO - https://t.co/bzMFWgZDph,en,None,None,None,1a27537478dd8e38,None,ES,0,0,mobile,41.3851,2.1734,3,POS,0.785
