id,created_at, user_id,text,lang,coordinates_type,coordinates_lat,coordinates_lon,place_id,place_name,place_country_code,retweet_count,favorite_count,_search_string,_search_loc_lat,_search_loc_lon,_search_loc_range,label
Sat Feb 16 03:40:38 +0000 2019,377228272,#Mi9 will be the most beautiful and fastest Xiaomi phone ever. We just can't wait to #MakeItHappen -  - See you in Barcï¿½ https://t.co/MzlZRXf3tM,en,None,None,None,1a27537478dd8e38,None,ES,87,1004,mwc19,41.3851,2.1734,3,NEG,0.002
Sat Feb 23 15:31:09 +0000 2019,16405182,Arrived and psyched about our clientsï¿½ programs this week! Letï¿½s do this @PR_Chirp!  -  - #MWC19 #MWC2019ï¿½ https://t.co/KP47wLe4QH,en,None,None,None,1a27537478dd8e38,None,ES,0,1,mwc19,41.3851,2.1734,3,NEG,0.049
Sat Feb 23 15:25:40 +0000 2019,2293455181,A las 17h te esperamos en nuestro canal de YouTube. Estrenaremos el primer vï¿½deo de nuestra cobertura en #MWC19.ï¿½ https://t.co/PccZkxSLPN,es,None,None,None,1a27537478dd8e38,None,ES,0,1,mwc19,41.3851,2.1734,3,NEG,0.451
Sat Feb 23 15:18:21 +0000 2019,4699256616,Aujourd'hui @Mathdossantos s'envole pour #Barcelona l'ï¿½dition du #MWC19  - N'hï¿½sitez pas ï¿½ nous suivre et ï¿½ suivre soï¿½ https://t.co/fTEmQmLIsg,fr,None,None,None,1a27537478dd8e38,None,ES,1,3,mwc19,41.3851,2.1734,3,NEG,0.002
Sat Feb 23 14:45:13 +0000 2019,77919228,Listos y acreditados para el #MWC19 en #Barcelona. Atentos a los prï¿½ximos anuncios de @Telefonica y @MovistarChileï¿½ https://t.co/W9N4yu7OVb,es,None,None,None,1a27537478dd8e38,None,ES,0,1,mwc19,41.3851,2.1734,3,NEG,0.144
Sat Feb 23 13:52:21 +0000 2019,563619104,Oto Oppo z optycznym zoomem. Premiera przed wakacjami. #oppo #mwc19 https://t.co/YTpaJ5vq3z,pl,None,None,None,1a27537478dd8e38,None,ES,0,0,mwc19,41.3851,2.1734,3,NEG,0.076
Sat Feb 23 13:32:29 +0000 2019,14927543,"@saschasegan @oppo ""We can figure out 10x zoom and 5g phone but suck at events."" #GetCloserWithOPPO #MWC19",en,None,None,None,1a27537478dd8e38,None,ES,0,0,mwc19,41.3851,2.1734,3,NEG,0.007
Sat Feb 23 13:31:50 +0000 2019,47923477,Oppo acaba de anunciar su primer smartphone 5G en Barcelona #MWC19 -  - Qualcomm ha colaborado con @oppo para que estoï¿½ https://t.co/2i9C0IDGrs,es,None,None,None,1a27537478dd8e38,None,ES,0,1,mwc19,41.3851,2.1734,3,NEG,0.032
Sat Feb 16 03:40:38 +0000 2019,377228272,#Mi9 will be the most beautiful and fastest Xiaomi phone ever. We just can't wait to #MakeItHappen -  - See you in Barcï¿½ https://t.co/MzlZRXf3tM,en,None,None,None,1a27537478dd8e38,None,ES,87,1004,mwc19,41.385557,2.163845,2,NEG,0.002
Sat Feb 23 15:31:09 +0000 2019,16405182,Arrived and psyched about our clientsï¿½ programs this week! Letï¿½s do this @PR_Chirp!  -  - #MWC19 #MWC2019ï¿½ https://t.co/KP47wLe4QH,en,None,None,None,1a27537478dd8e38,None,ES,0,1,mwc19,41.385557,2.163845,2,NEG,0.049
Sat Feb 23 15:25:40 +0000 2019,2293455181,A las 17h te esperamos en nuestro canal de YouTube. Estrenaremos el primer vï¿½deo de nuestra cobertura en #MWC19.ï¿½ https://t.co/PccZkxSLPN,es,None,None,None,1a27537478dd8e38,None,ES,0,1,mwc19,41.385557,2.163845,2,NEG,0.451
Sat Feb 23 15:18:21 +0000 2019,4699256616,Aujourd'hui @Mathdossantos s'envole pour #Barcelona l'ï¿½dition du #MWC19  - N'hï¿½sitez pas ï¿½ nous suivre et ï¿½ suivre soï¿½ https://t.co/fTEmQmLIsg,fr,None,None,None,1a27537478dd8e38,None,ES,1,3,mwc19,41.385557,2.163845,2,NEG,0.002
Sat Feb 23 14:45:13 +0000 2019,77919228,Listos y acreditados para el #MWC19 en #Barcelona. Atentos a los prï¿½ximos anuncios de @Telefonica y @MovistarChileï¿½ https://t.co/W9N4yu7OVb,es,None,None,None,1a27537478dd8e38,None,ES,0,1,mwc19,41.385557,2.163845,2,NEG,0.144
Sat Feb 23 13:52:21 +0000 2019,563619104,Oto Oppo z optycznym zoomem. Premiera przed wakacjami. #oppo #mwc19 https://t.co/YTpaJ5vq3z,pl,None,None,None,1a27537478dd8e38,None,ES,0,0,mwc19,41.385557,2.163845,2,NEG,0.076
Sat Feb 23 13:32:29 +0000 2019,14927543,"@saschasegan @oppo ""We can figure out 10x zoom and 5g phone but suck at events."" #GetCloserWithOPPO #MWC19",en,None,None,None,1a27537478dd8e38,None,ES,0,0,mwc19,41.385557,2.163845,2,NEG,0.007
Sat Feb 23 13:31:50 +0000 2019,47923477,Oppo acaba de anunciar su primer smartphone 5G en Barcelona #MWC19 -  - Qualcomm ha colaborado con @oppo para que estoï¿½ https://t.co/2i9C0IDGrs,es,None,None,None,1a27537478dd8e38,None,ES,0,1,mwc19,41.385557,2.163845,2,NEG,0.032
Sat Feb 23 09:56:34 +0000 2019,60932754,"Arrancï¿½ el dia con una visita exclusiva y muestra de productos  TCL, pero aï¿½n no podemos decir de quï¿½ se trata.ï¿½ https://t.co/ZUPUfPLzbY",es,Point,41.402417,2.163444,1a27537478dd8e38,None,ES,1,1,mwc19,41.413435,2.15319,2,NEG,0.499
Sat Feb 23 15:56:46 +0000 2019,571684132,Work in progress #MWC19 #5G #IoT https://t.co/D98gJ2pnVA,en,None,None,None,093c39a837941000,None,ES,0,0,mwc19,41.35402,2.12874,3,NEG,0.019
Sat Feb 23 14:44:37 +0000 2019,357353624,The @TCS_SDC from @CanEmbSpain with partners @TechWest_CA @CommerceOn making sure that everything is ready forï¿½ https://t.co/UkPk6kJIGG,en,None,None,None,093c39a837941000,None,ES,0,3,mwc19,41.35402,2.12874,3,NEG,0.006
Sat Feb 23 13:58:55 +0000 2019,112706353,#5G is here! @nokia #MWC19 https://t.co/cWkCh6SCqT,en,None,None,None,1aca5ffbc553e95b,None,ES,0,0,mwc19,41.35402,2.12874,3,NEG,0.01
Sat Feb 23 11:42:14 +0000 2019,229146958,#vamospalla #letsdoit #mwc19 #mwcbarcelona en Fira Barcelona Gran Viï¿½-Accï¿½s Nord https://t.co/df12BxWnx5,ca,Point,41.35519869,2.13739183,1a27537478dd8e38,None,ES,0,0,mwc19,41.35402,2.12874,3,NEG,0.178
Sat Feb 23 10:39:01 +0000 2019,571684132,"Here we are, booth 7H12! #MWC2019 #5g #IoT #MWC19 https://t.co/obkQv2T7Fq",en,None,None,None,07d9e41f45c87000,None,,0,0,mwc19,41.35402,2.12874,3,NEG,0.113
Sat Feb 23 10:26:12 +0000 2019,915493999879876608,"Another year at @4YFN_MWC, another great opportunity to exchange with YOU innovative startups! If you want to conneï¿½ https://t.co/ZfN0iOknUb",en,None,None,None,07d9f3203b087000,None,ES,4,7,mwc19,41.35402,2.12874,3,NEG,0.004
Sat Feb 23 07:15:38 +0000 2019,726364252274102274,#Super #Professional #ApoyoVTC #VTC #enelfuturocabemostodos  #Barcelona #accident #Accidentes #DGT #BCNï¿½ https://t.co/mZTnKRt90v,und,None,None,None,07d9e3947e880001,None,ES,0,4,mwc19,41.35402,2.12874,3,NEG,0.138
