id,created_at, user_id,text,lang,coordinates_type,coordinates_lat,coordinates_lon,place_id,place_name,place_country_code,retweet_count,favorite_count,_search_string,_search_loc_lat,_search_loc_lon,_search_loc_range,label
Tue Feb 19 15:15:01 +0000 2019,94422521,Buy tickets now to take part in Panel 2: Finding Purpose in Any Industry -  - Panellists - Nash Billimoria ï¿½ Executive Coï¿½ https://t.co/5nkIyfAu4s,en,Point,41.3888,2.1681,1a27537478dd8e38,None,ES,1,5,technology,41.3851,2.1734,1,NEG,0.025
Sat Feb 16 23:20:38 +0000 2019,882243450,"#bcnllum19 #bcnllum #art #technology en Barcelona, Spain https://t.co/U7a6rp8ZAq",en,Point,41.3888,2.1681,1a27537478dd8e38,None,ES,0,1,technology,41.3851,2.1734,1,NEG,0.038
Tue Feb 19 15:15:01 +0000 2019,94422521,Buy tickets now to take part in Panel 2: Finding Purpose in Any Industry -  - Panellists - Nash Billimoria ï¿½ Executive Coï¿½ https://t.co/5nkIyfAu4s,en,Point,41.3888,2.1681,1a27537478dd8e38,None,ES,1,5,technology,41.385557,2.163845,1,NEG,0.025
Sat Feb 16 23:20:38 +0000 2019,882243450,"#bcnllum19 #bcnllum #art #technology en Barcelona, Spain https://t.co/U7a6rp8ZAq",en,Point,41.3888,2.1681,1a27537478dd8e38,None,ES,0,1,technology,41.385557,2.163845,1,NEG,0.038
Sat Feb 23 05:17:06 +0000 2019,496357390,"First our faxes, now our pagers! The #NHS will be unrecognisable (probably with expensive mobile phone contracts inï¿½ https://t.co/pkW9pV2zsP",en,None,None,None,37ded68f419372ee,None,ES,2,1,technology,41.309457,2.092745,1,NEG,0.012
Tue Feb 19 15:15:01 +0000 2019,94422521,Buy tickets now to take part in Panel 2: Finding Purpose in Any Industry -  - Panellists - Nash Billimoria ï¿½ Executive Coï¿½ https://t.co/5nkIyfAu4s,en,Point,41.3888,2.1681,1a27537478dd8e38,None,ES,1,5,technology,41.3851,2.1734,1,NEG,0.025
Sat Feb 16 23:20:38 +0000 2019,882243450,"#bcnllum19 #bcnllum #art #technology en Barcelona, Spain https://t.co/U7a6rp8ZAq",en,Point,41.3888,2.1681,1a27537478dd8e38,None,ES,0,1,technology,41.3851,2.1734,1,NEG,0.038
Tue Feb 19 15:15:01 +0000 2019,94422521,Buy tickets now to take part in Panel 2: Finding Purpose in Any Industry -  - Panellists - Nash Billimoria ï¿½ Executive Coï¿½ https://t.co/5nkIyfAu4s,en,Point,41.3888,2.1681,1a27537478dd8e38,None,ES,1,5,technology,41.385557,2.163845,1,NEG,0.025
Sat Feb 16 23:20:38 +0000 2019,882243450,"#bcnllum19 #bcnllum #art #technology en Barcelona, Spain https://t.co/U7a6rp8ZAq",en,Point,41.3888,2.1681,1a27537478dd8e38,None,ES,0,1,technology,41.385557,2.163845,1,NEG,0.038
Sat Feb 23 05:17:06 +0000 2019,496357390,"First our faxes, now our pagers! The #NHS will be unrecognisable (probably with expensive mobile phone contracts inï¿½ https://t.co/pkW9pV2zsP",en,None,None,None,37ded68f419372ee,None,ES,2,1,technology,41.309457,2.092745,1,NEG,0.012
Tue Feb 19 15:15:01 +0000 2019,94422521,Buy tickets now to take part in Panel 2: Finding Purpose in Any Industry -  - Panellists - Nash Billimoria ï¿½ Executive Coï¿½ https://t.co/5nkIyfAu4s,en,Point,41.3888,2.1681,1a27537478dd8e38,None,ES,1,5,technology,41.3851,2.1734,1,NEG,0.025
Sat Feb 16 23:20:38 +0000 2019,882243450,"#bcnllum19 #bcnllum #art #technology en Barcelona, Spain https://t.co/U7a6rp8ZAq",en,Point,41.3888,2.1681,1a27537478dd8e38,None,ES,0,1,technology,41.3851,2.1734,1,NEG,0.038
Tue Feb 19 15:15:01 +0000 2019,94422521,Buy tickets now to take part in Panel 2: Finding Purpose in Any Industry -  - Panellists - Nash Billimoria ï¿½ Executive Coï¿½ https://t.co/5nkIyfAu4s,en,Point,41.3888,2.1681,1a27537478dd8e38,None,ES,1,5,technology,41.385557,2.163845,1,NEG,0.025
Sat Feb 16 23:20:38 +0000 2019,882243450,"#bcnllum19 #bcnllum #art #technology en Barcelona, Spain https://t.co/U7a6rp8ZAq",en,Point,41.3888,2.1681,1a27537478dd8e38,None,ES,0,1,technology,41.385557,2.163845,1,NEG,0.038
1100089049786638338,Mon Feb 25 17:44:02 +0000 2019,495305866,Just look how thin this new Huawei Mate Book X Pro #huawei #huaweimatebookxpro #tech -  #technology #mwc #mwc2019 @ Bï¿½ https://t.co/IegVe6Amy2,en,Point,41.3888,2.1681,1a27537478dd8e38,None,ES,0,0,technology,41.3851,2.1734,1,None
1097877219433603072,Tue Feb 19 15:15:01 +0000 2019,94422521,Buy tickets now to take part in Panel 2: Finding Purpose in Any Industry -  - Panellists - Nash Billimoria ï¿½ Executive Coï¿½ https://t.co/5nkIyfAu4s,en,Point,41.3888,2.1681,1a27537478dd8e38,None,ES,1,5,technology,41.3851,2.1734,1,None
1096912267759607808,Sat Feb 16 23:20:38 +0000 2019,882243450,"#bcnllum19 #bcnllum #art #technology en Barcelona, Spain https://t.co/U7a6rp8ZAq",en,Point,41.3888,2.1681,1a27537478dd8e38,None,ES,0,1,technology,41.3851,2.1734,1,None
1100089049786638338,Mon Feb 25 17:44:02 +0000 2019,495305866,Just look how thin this new Huawei Mate Book X Pro #huawei #huaweimatebookxpro #tech -  #technology #mwc #mwc2019 @ Bï¿½ https://t.co/IegVe6Amy2,en,Point,41.3888,2.1681,1a27537478dd8e38,None,ES,0,0,technology,41.385557,2.163845,1,None
1097877219433603072,Tue Feb 19 15:15:01 +0000 2019,94422521,Buy tickets now to take part in Panel 2: Finding Purpose in Any Industry -  - Panellists - Nash Billimoria ï¿½ Executive Coï¿½ https://t.co/5nkIyfAu4s,en,Point,41.3888,2.1681,1a27537478dd8e38,None,ES,1,5,technology,41.385557,2.163845,1,None
1096912267759607808,Sat Feb 16 23:20:38 +0000 2019,882243450,"#bcnllum19 #bcnllum #art #technology en Barcelona, Spain https://t.co/U7a6rp8ZAq",en,Point,41.3888,2.1681,1a27537478dd8e38,None,ES,0,1,technology,41.385557,2.163845,1,None
1100070598447898626,Mon Feb 25 16:30:43 +0000 2019,19475858,Technology shifts are easier to implement than transforming the business and operating models. You have to understaï¿½ https://t.co/uXgmLnAubd,en,None,None,None,07d9e41f45c87000,None,ES,0,2,technology,41.35402,2.12874,1,None
1100066443553591296,Mon Feb 25 16:14:13 +0000 2019,22072585,Exciting to see #Pureview camera technology back with @NokiaMobile  #MWC19 #CarlZeiss https://t.co/lIOHHbOa4M,en,None,None,None,07d9e41f45c87000,None,ES,1,9,technology,41.35402,2.12874,1,None
1100015077195825158,Mon Feb 25 12:50:06 +0000 2019,59894497,Technology from all over the world at the Mobile World Congress 2019 Barcelona #mwc2019mp #mwc2019 #5g @ Fira Barceï¿½ https://t.co/cd7EEhnmMM,ca,Point,41.35519869,2.13739183,1a27537478dd8e38,None,ES,0,1,technology,41.35402,2.12874,1,None
1099993284062126081,Mon Feb 25 11:23:30 +0000 2019,59894497,The 5G Battle is the latest trend in mobile technology. #mwc2019mp #mwc2019 #samsung #huawei #barcelonaï¿½ https://t.co/C0eK9PcxkC,ca,Point,41.35519869,2.13739183,1a27537478dd8e38,None,ES,0,0,technology,41.35402,2.12874,1,None
1099992257426530304,Mon Feb 25 11:19:25 +0000 2019,55878194,@ericsson Ready to battle the scarecrow in VR @EricssonNA at #MWC2019 amazing technology #5G https://t.co/RMbICUqjwl,en,None,None,None,07d9e41f45c87000,None,ES,4,11,technology,41.35402,2.12874,1,None
1099984468868321280,Mon Feb 25 10:48:28 +0000 2019,1377942696,"MWC19 all about 5G technology, the real revolution",en,None,None,None,07d9e41f45c87000,None,ES,0,0,technology,41.35402,2.12874,1,None
1099984332872126464,Mon Feb 25 10:47:56 +0000 2019,17103069,"Facial recognition technology provides a seamless customer on-boarding experience. See our demo at Stand 2J41, Hallï¿½ https://t.co/E9XGU8MZI7",en,None,None,None,07d9e41f45c87000,None,ES,2,3,technology,41.35402,2.12874,1,None
1099984009533243392,Mon Feb 25 10:46:39 +0000 2019,19475858,ï¿½Privacy requires control and optionality.  -  - The fact that trust has been lost is not a technology problem.  -  - We arï¿½ https://t.co/CmE3KKB2wq,en,None,None,None,07d9e41f45c87000,None,ES,0,5,technology,41.35402,2.12874,1,None
1099980067076296706,Mon Feb 25 10:30:59 +0000 2019,837745206,#BonjourMobile #MWC19 is getting really busy! The dejamobile team is happy to be part of this worldwide majorï¿½ https://t.co/fI0nNLWQYf,en,None,None,None,07d9e41f45c87000,None,ES,5,5,technology,41.35402,2.12874,1,None
1099979128093184000,Mon Feb 25 10:27:15 +0000 2019,62177419,Has technology gone too far? https://t.co/bju68WjEfa,en,None,None,None,07d9e41f45c87000,None,ES,14,243,technology,41.35402,2.12874,1,None
1099974954752360448,Mon Feb 25 10:10:40 +0000 2019,14991186,Great  CTOï¿½s Panel #MWC19 Whatï¿½s keeping operator CTOs up at Night? #5g #technology #Innovations https://t.co/0MIjMUFiyf,en,None,None,None,07d9e41f45c87000,None,ES,1,1,technology,41.35402,2.12874,1,None
1099969120227999744,Mon Feb 25 09:47:29 +0000 2019,195550745,Brilliant to be here with the team at #MWC19 where we will spend the next 4 days demonstrating our world-leadingï¿½ https://t.co/6ajG8RE45o,en,None,None,None,07d9e41f45c87000,None,ES,1,1,technology,41.35402,2.12874,1,None
1099968999729684480,Mon Feb 25 09:47:00 +0000 2019,1328013948,#MWC19 @GSMA #Barcelona #Espaï¿½a #Catalunya #technology #future @ Gran Via 2 https://t.co/Xgomip0W2F,en,Point,41.35853425,2.12914952,1aca5ffbc553e95b,None,ES,0,0,technology,41.35402,2.12874,1,None
1099963221082034176,Mon Feb 25 09:24:02 +0000 2019,29686426,ï¿½#Mobile is central in driving #inclusionï¿½ - CEO of @MTNGroup @ShuterRob outlines the huge power of mobile technoloï¿½ https://t.co/X9JPjmgIQM,en,None,None,None,07d9e41f45c87000,None,ES,0,3,technology,41.35402,2.12874,1,None
1099945908651941894,Mon Feb 25 08:15:15 +0000 2019,989074227658665984,IDTechEx analyst in MWC. I very look foreword to meeting the next generation of smartphones and 5G technology!ï¿½ https://t.co/cExMNaKnFc,en,None,None,None,07d9e41f45c87000,None,ES,1,10,technology,41.35402,2.12874,1,None
1099917807322624000,Mon Feb 25 06:23:35 +0000 2019,19199929,First morning arrival at #mwc19 and the #breez facial recognition technology worked perfectly! Well done @GSMAï¿½ https://t.co/aSoUmnjhGR,en,None,None,None,07d9e41f45c87000,None,ES,0,0,technology,41.35402,2.12874,1,None
1100064097167540225,Mon Feb 25 16:04:53 +0000 2019,13666632,#4yfn #future of #work use #technology to #help #human #interconnection and #visibility #possibilitarians #pwcï¿½ https://t.co/4OOkNTuMtQ,en,Point,41.37455433,2.14971542,1a27537478dd8e38,None,ES,0,0,technology,41.373693,2.151002,1,None
1100029228555345920,Mon Feb 25 13:46:20 +0000 2019,246910986,"Deutsche Telekom now guiding for 2019 5G start, bringing plans forward similar to a number of other operators as thï¿½ https://t.co/L5cbQX2wRp",en,None,None,None,37ded68f419372ee,None,ES,0,0,technology,41.309457,2.092745,1,None
1099176299027988481,Sat Feb 23 05:17:06 +0000 2019,496357390,"First our faxes, now our pagers! The #NHS will be unrecognisable (probably with expensive mobile phone contracts inï¿½ https://t.co/pkW9pV2zsP",en,None,None,None,37ded68f419372ee,None,ES,2,1,technology,41.309457,2.092745,1,None
1100089049786638338,Mon Feb 25 17:44:02 +0000 2019,495305866,Just look how thin this new Huawei Mate Book X Pro #huawei #huaweimatebookxpro #tech -  #technology #mwc #mwc2019 @ Bï¿½ https://t.co/IegVe6Amy2,en,Point,41.3888,2.1681,1a27537478dd8e38,None,ES,0,0,technology,41.3872,2.168588,2,None
1097877219433603072,Tue Feb 19 15:15:01 +0000 2019,94422521,Buy tickets now to take part in Panel 2: Finding Purpose in Any Industry -  - Panellists - Nash Billimoria ï¿½ Executive Coï¿½ https://t.co/5nkIyfAu4s,en,Point,41.3888,2.1681,1a27537478dd8e38,None,ES,1,5,technology,41.3872,2.168588,2,None
1096912267759607808,Sat Feb 16 23:20:38 +0000 2019,882243450,"#bcnllum19 #bcnllum #art #technology en Barcelona, Spain https://t.co/U7a6rp8ZAq",en,Point,41.3888,2.1681,1a27537478dd8e38,None,ES,0,1,technology,41.3872,2.168588,2,None
1096898327675838464,Sat Feb 16 22:25:15 +0000 2019,882243450,"#bcnllum #art #technology #tecnologï¿½a #barcelona en Barcelona City, Spain https://t.co/2ftxj9XleR",en,Point,41.39522594,2.17546463,1a27537478dd8e38,None,ES,0,1,technology,41.3872,2.168588,2,None
